player;session;level;action;time;state;timestamp
172672884;B5E821B046054D37C48CB2B44A50617D;Densidad_de_Objetos;3;76;Final del nivel;2020-12-03 01:50:35.966807
172672884;B5E821B046054D37C48CB2B44A50617D;Densidad_de_Objetos;3;76;Puntaje Total: 13360;2020-12-03 01:51:02.991848
172672884;B5E821B046054D37C48CB2B44A50617D;Union_Interseccion;3;27;Final del nivel;2020-12-03 01:52:09.080832
172672884;B5E821B046054D37C48CB2B44A50617D;Union_Interseccion;3;27;Puntaje Total: 38930;2020-12-03 01:52:37.202290
172672884;B5E821B046054D37C48CB2B44A50617D;Velocidad_y_fuerza;3;108;Final del nivel;2020-12-03 01:55:17.726868
172672884;B5E821B046054D37C48CB2B44A50617D;Velocidad_y_fuerza;3;108;Puntaje Total: 88720;2020-12-03 01:55:46.403612
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;3;764;Final del nivel;2020-12-03 02:11:01.896628
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;3;764;Puntaje Total: 152540;2020-12-03 02:11:39.045241
172672884;DB5C261241E0438F8E40B69FCD69C2A6;Densidad_de_Objetos;3;122;Final del nivel;2020-12-03 01:34:33.304244
172672884;DB5C261241E0438F8E40B69FCD69C2A6;Densidad_de_Objetos;3;122;Puntaje Total: 13740;2020-12-03 01:35:15.981055
172672884;DB5C261241E0438F8E40B69FCD69C2A6;Union_Interseccion;3;132;Final del nivel;2020-12-03 01:39:17.914143
172672884;DB5C261241E0438F8E40B69FCD69C2A6;Union_Interseccion;3;132;Puntaje Total: 35300;2020-12-03 01:40:03.106206
191147499;98301ED0441B6559E8B8BEBF10879B30;Densidad_de_Objetos;3;5;Final del nivel;2020-11-26 13:42:05.697566
191147499;98301ED0441B6559E8B8BEBF10879B30;Densidad_de_Objetos;3;5;Puntaje Total: 12730;2020-11-26 13:43:16.331667
191147499;98301ED0441B6559E8B8BEBF10879B30;Union_Interseccion;3;14;Final del nivel;2020-11-26 13:45:13.873937
191147499;98301ED0441B6559E8B8BEBF10879B30;Union_Interseccion;3;14;Puntaje Total: 37620;2020-11-26 13:46:23.081702
193167357;7D5142734E79615B44709D98F4DB2420;Densidad_de_Objetos;3;312;Final del nivel;2020-11-30 22:13:29.133775
193167357;7D5142734E79615B44709D98F4DB2420;Densidad_de_Objetos;3;312;Puntaje Total: 9960;2020-11-30 22:14:25.046404
193167357;7D5142734E79615B44709D98F4DB2420;Union_Interseccion;3;32;Final del nivel;2020-11-30 22:17:31.449884
193167357;7D5142734E79615B44709D98F4DB2420;Union_Interseccion;3;32;Puntaje Total: 31700;2020-11-30 22:18:12.889801
193167357;7D5142734E79615B44709D98F4DB2420;Velocidad_y_fuerza;3;153;Final del nivel;2020-11-30 22:24:07.952558
193167357;7D5142734E79615B44709D98F4DB2420;Velocidad_y_fuerza;3;153;Puntaje Total: 71730;2020-11-30 22:24:50.862631
194218346;2018E23148EC65E660394DBFC95AE727;Densidad_de_Objetos;3;603;Final del nivel;2020-11-30 17:49:40.955397
194218346;2018E23148EC65E660394DBFC95AE727;Densidad_de_Objetos;3;603;Puntaje Total: 1630;2020-11-30 17:50:27.855713
194218346;2018E23148EC65E660394DBFC95AE727;Union_Interseccion;3;145;Final del nivel;2020-11-30 17:54:39.550495
194218346;2018E23148EC65E660394DBFC95AE727;Union_Interseccion;3;145;Puntaje Total: 9090;2020-11-30 17:55:31.725290
195160872;078E0F784B8F647BEE95B9A051B78D6E;Densidad_de_Objetos;3;62;Final del nivel;2020-11-26 23:48:50.702077
195160872;078E0F784B8F647BEE95B9A051B78D6E;Densidad_de_Objetos;3;62;Puntaje Total: 14360;2020-11-26 23:49:17.200758
195160872;078E0F784B8F647BEE95B9A051B78D6E;Union_Interseccion;3;15;Final del nivel;2020-11-26 23:50:09.225320
195160872;078E0F784B8F647BEE95B9A051B78D6E;Union_Interseccion;3;15;Puntaje Total: 40890;2020-11-26 23:50:55.351184
195160872;078E0F784B8F647BEE95B9A051B78D6E;Velocidad_y_fuerza;3;249;Final del nivel;2020-11-27 00:03:58.740401
195160872;078E0F784B8F647BEE95B9A051B78D6E;Velocidad_y_fuerza;3;249;Puntaje Total: 86470;2020-11-27 00:04:42.963863
195160872;078E0F784B8F647BEE95B9A051B78D6E;Mirrors_1;3;54;Final del nivel;2020-11-27 00:07:34.927194
195160872;078E0F784B8F647BEE95B9A051B78D6E;Mirrors_1;3;54;Puntaje Total: 183820;2020-11-27 00:08:07.853272
195160872;851F701A4766648978D194808D6E27D4;Densidad_de_Objetos;3;81;Final del nivel;2020-11-24 23:05:33.046456
195160872;851F701A4766648978D194808D6E27D4;Densidad_de_Objetos;3;81;Puntaje Total: 6060;2020-11-24 23:06:05.548496
195160872;851F701A4766648978D194808D6E27D4;Union_Interseccion;3;24;Final del nivel;2020-11-24 23:09:18.667432
195160872;851F701A4766648978D194808D6E27D4;Union_Interseccion;3;24;Puntaje Total: 21560;2020-11-24 23:09:58.614252
195254990;D633A91A4D97F641038591BF901096CA;Densidad_de_Objetos;3;346;Final del nivel;2020-11-30 18:20:22.197769
195254990;D633A91A4D97F641038591BF901096CA;Densidad_de_Objetos;3;346;Puntaje Total: 10200;2020-11-30 18:20:54.626857
195254990;D633A91A4D97F641038591BF901096CA;Union_Interseccion;3;56;Final del nivel;2020-11-30 18:21:56.223319
195254990;D633A91A4D97F641038591BF901096CA;Union_Interseccion;3;56;Puntaje Total: 31820;2020-11-30 18:22:11.613794
197299339;438DC9D14338F573DC26468409B2CE90;Densidad_de_Objetos;3;342;Final del nivel;2020-11-24 14:27:19.103099
197299339;438DC9D14338F573DC26468409B2CE90;Densidad_de_Objetos;3;342;Puntaje Total: -20860;2020-11-24 14:28:14.480806
197299339;438DC9D14338F573DC26468409B2CE90;Union_Interseccion;3;34;Final del nivel;2020-11-24 14:33:14.031536
197299339;438DC9D14338F573DC26468409B2CE90;Union_Interseccion;3;34;Puntaje Total: -33020;2020-11-24 14:34:11.195329
197299339;8D91792748FDA21DDCA5758CC70DE2A4;Densidad_de_Objetos;3;494;Final del nivel;2020-11-26 23:13:58.668992
197299339;8D91792748FDA21DDCA5758CC70DE2A4;Densidad_de_Objetos;3;494;Puntaje Total: 6420;2020-11-26 23:14:38.958517
197299339;8D91792748FDA21DDCA5758CC70DE2A4;Union_Interseccion;3;29;Final del nivel;2020-11-26 23:16:25.298709
197299339;8D91792748FDA21DDCA5758CC70DE2A4;Union_Interseccion;3;29;Puntaje Total: 24870;2020-11-26 23:17:32.556153
197299339;E8D3CF9C421324215943ED8C82DE314C;Densidad_de_Objetos;3;235;Final del nivel;2020-11-27 20:17:54.737102
197299339;E8D3CF9C421324215943ED8C82DE314C;Densidad_de_Objetos;3;235;Puntaje Total: 12130;2020-11-27 20:19:07.707737
197299339;E8D3CF9C421324215943ED8C82DE314C;Union_Interseccion;3;71;Final del nivel;2020-11-27 20:23:55.284703
197299339;E8D3CF9C421324215943ED8C82DE314C;Union_Interseccion;3;71;Puntaje Total: 33930;2020-11-27 20:25:39.153124
197299339;E8D3CF9C421324215943ED8C82DE314C;Velocidad_y_fuerza;3;505;Final del nivel;2020-11-27 20:36:21.702619
197299339;E8D3CF9C421324215943ED8C82DE314C;Velocidad_y_fuerza;3;505;Puntaje Total: 68890;2020-11-27 20:38:07.031007
197299339;E8D3CF9C421324215943ED8C82DE314C;Mirrors_1;3;158;Final del nivel;2020-11-27 20:43:06.686147
197299339;E8D3CF9C421324215943ED8C82DE314C;Mirrors_1;3;158;Puntaje Total: 144220;2020-11-27 20:44:48.063486
198302783;7C269BFF4BBBB25509C813A1438381D6;Densidad_de_Objetos;3;474;Final del nivel;2020-11-30 17:37:57.685321
198302783;7C269BFF4BBBB25509C813A1438381D6;Densidad_de_Objetos;3;474;Puntaje Total: 4260;2020-11-30 17:38:34.306927
198302783;7C269BFF4BBBB25509C813A1438381D6;Union_Interseccion;3;51;Final del nivel;2020-11-30 17:40:52.883120
198302783;7C269BFF4BBBB25509C813A1438381D6;Union_Interseccion;3;51;Puntaje Total: 19330;2020-11-30 17:41:27.673227
